code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb_x,mktcap,nmc,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb_y,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
688388 ,嘉元科技,-0.075,66.52,66.57,67.9,65.84,66.57,4407268.0,8.34096,295473875.0,65.216,13.304,1535787.152,351484.050156,元器件,广东,42.54,0.53,2.31,11.23,5.04,5.71,1.55,0.67,0.7829999999999999,10.27,6.48,20190722.0,4.98,2.16,0.0,0.0,36.08,23.71,45800.0
688333 ,铂力特,-0.835,85.48,85.23,87.37,84.88,86.2,2100124.0,11.69371,180701722.0,89.979,13.03,683840.0,153517.276024,机械基件,陕西,0.0,0.18,0.8,7.97,3.74,3.15,2.54,3.17,-0.028999999999999998,12.4,6.95,20190722.0,0.68,0.85,0.0,0.0,35.25,-2.18,13218.0
688321 ,微芯生物,-3.002,91.76,93.4,95.8,90.8,94.6,7728198.0,19.04514,717301073.0,1055.926,66.014,3762160.0,372346.7102,化学制药,深圳,1107.54,0.41,4.1,8.28,2.87,0.12,1.58,0.38,0.043,3.52,26.85,20190812.0,-0.22,-0.05,0.0,0.0,96.11,21.38,27993.0
688188 ,柏楚电子,0.377,194.14,193.55,197.63,193.0,193.41,1722612.0,7.5192499999999995,335988751.0,104.376,35.622,1941400.0,444762.489766,软件服务,上海,81.75,0.23,1.0,4.4,3.26,0.06,1.34,1.34,1.183,20.2,9.57,20190808.0,1.87,1.87,0.0,0.0,81.36,67.69,21083.0
688122 ,西部超导,0.09,55.83,55.18,56.59,55.14,55.78,2643924.0,6.65937,147973631.0,164.254,11.704,2463621.576,221657.890653,小金属,陕西,143.56,0.4,4.41,40.73,28.32,8.78,11.94,2.71,0.19399999999999998,5.66,9.86,20190722.0,2.18,0.49,0.0,0.0,34.41,12.81,25400.0
688099 ,晶晨股份,2.0,118.31,116.0,120.92,116.0,115.99,3961604.0,10.61367,471336575.0,155.671,35.636,4863960.72,441597.63557,半导体,上海,224.33,0.37,4.11,15.76,11.1,1.92,5.17,1.26,0.259,6.64,17.46,20190808.0,3.4,0.83,0.0,0.0,34.73,9.42,25515.0
688088 ,虹软科技,-1.008,71.67,72.98,73.38,71.43,72.4,3461222.0,9.10699,250003798.0,146.265,24.465,2909802.0,272390.471235,软件服务,浙江,241.56,0.38,4.06,12.47,11.84,0.13,6.62,1.63,0.075,5.69,12.73,20190722.0,0.56,0.14,0.0,0.0,93.94,24.13,25045.0
688066 ,航天宏图,0.696,63.62,63.22,63.95,62.93,63.18,3237589.0,8.59982,205668260.0,127.24,17.623,1055985.964546,239511.289178,软件服务,北京,0.0,0.38,1.66,7.84,7.33,0.23,2.13,1.28,-0.175,6.57,9.61,20190722.0,0.94,0.56,0.0,0.0,60.67,-23.82,33120.0
688033 ,天宜上佳,-0.25,51.77,51.61,52.55,51.28,51.9,3337560.0,7.68386,173468035.0,78.439,15.271,2323112.422276,224868.094345,运输设备,北京,75.95,0.43,4.49,14.69,8.13,0.58,4.39,0.98,0.342,4.96,10.46,20190722.0,4.49,1.0,0.0,0.0,74.97,48.23,28957.0
688029 ,南微医学,-1.964,124.81,126.4,127.02,124.5,127.31,1502619.0,4.91179,188820650.0,64.769,17.074,1664216.54,381819.887771,医疗保健,江苏,56.52,0.31,1.33,10.9,7.14,1.38,2.65,1.99,1.126,17.42,7.31,20190722.0,3.34,2.51,0.0,0.0,65.86,24.31,27600.0
